"X","participant_id","option1","option2","option3","best_response","worst_response","best_rt","worst_rt","best","worst","run_id","section"
1,"sbj_blind_1","verde, lanterna","timone, coccodrillo","﻿anello, bidet",2,3,2355,1245,"timone, coccodrillo","﻿anello, bidet",1,"section 1"
2,"sbj_blind_1","succo, cassettiera","blu, ciliegio","pomodoro, ciliegio",3,1,1716,1441,"pomodoro, ciliegio","succo, cassettiera",1,"section 1"
3,"sbj_blind_1","cavolo, pomodoro","cucchiaio, blu","eccentrico, agenda",1,3,1960,1739,"cavolo, pomodoro","eccentrico, agenda",1,"section 1"
4,"sbj_blind_1","﻿anello, pidocchio","leone, bersaglio","lattuga, documento",1,3,2774,1073,"﻿anello, pidocchio","lattuga, documento",1,"section 1"
5,"sbj_blind_1","rana, bidet","verde, ciliegio","piatto, cassettiera",2,3,2284,1269,"verde, ciliegio","piatto, cassettiera",1,"section 1"
6,"sbj_blind_1","lavagna, succo","lattuga, bidet","coperta, timone",2,1,2912,1300,"lattuga, bidet","lavagna, succo",1,"section 1"
7,"sbj_blind_1","blu, sole","bidet, crostino","sole, ciliegio",3,2,3168,715,"sole, ciliegio","bidet, crostino",1,"section 1"
8,"sbj_blind_1","fiammifero, rana","forchetta, sole","eccentrico, equilibrio",3,1,2549,797,"eccentrico, equilibrio","fiammifero, rana",1,"section 1"
9,"sbj_blind_1","coperta, lattuga","menta, cassettiera","satellite, soglia",2,1,2363,778,"menta, cassettiera","coperta, lattuga",1,"section 1"
10,"sbj_blind_1","portafoglio, cavolo","pidocchio, cassettiera","coccodrillo, autorità",1,3,2474,1212,"portafoglio, cavolo","coccodrillo, autorità",1,"section 1"
11,"sbj_blind_1","panchina, appuntamento","gessetto, lavagna","fiammifero, appuntamento",2,3,1567,1418,"gessetto, lavagna","fiammifero, appuntamento",1,"section 1"
12,"sbj_blind_1","ciotola, lattuga","blu, sega","limone, posacenere",1,2,1928,662,"ciotola, lattuga","blu, sega",1,"section 1"
13,"sbj_blind_1","cuscino, pomodoro","giallo, mais","stuzzicadenti, eccentrico",2,3,2713,663,"giallo, mais","stuzzicadenti, eccentrico",1,"section 1"
14,"sbj_blind_1","pomodoro, sega","viola, bersaglio","lanterna, soglia",2,1,2195,519,"viola, bersaglio","pomodoro, sega",1,"section 1"
15,"sbj_blind_1","viola, limone","cucchiaio, portafoglio","lavagna, rosa",1,2,2801,897,"viola, limone","cucchiaio, portafoglio",1,"section 1"
16,"sbj_blind_1","lanterna, autorità","ciotola, spinaci","viola, eccentrico",2,1,2571,1109,"ciotola, spinaci","lanterna, autorità",1,"section 1"
17,"sbj_blind_1","stuzzicadenti, equilatero","agenda, appuntamento","giallo, menta",2,1,2089,737,"agenda, appuntamento","stuzzicadenti, equilatero",1,"section 1"
18,"sbj_blind_1","cavolo, damigiana","verde, rosa","portafoglio, succo",2,3,2469,528,"verde, rosa","portafoglio, succo",1,"section 1"
19,"sbj_blind_1","blu, lattuga","portafoglio, coccodrillo","mais, caramella",3,2,2200,672,"mais, caramella","portafoglio, coccodrillo",1,"section 1"
20,"sbj_blind_1","eccentrico, soglia","damigiana, satellite","stuzzicadenti, spinaci",2,1,2970,621,"damigiana, satellite","eccentrico, soglia",1,"section 1"
21,"sbj_blind_1","lanterna, panchina","braccialetto, cipolla","fiammifero, sega",1,3,2635,704,"lanterna, panchina","fiammifero, sega",1,"section 1"
22,"sbj_blind_1","panchina, caramella","timone, verde","succo, eccentrico",2,3,1887,573,"timone, verde","succo, eccentrico",1,"section 1"
23,"sbj_blind_1","caramella, damigiana","braccialetto, agenda","cavolo, lanterna",2,3,3029,1121,"braccialetto, agenda","cavolo, lanterna",1,"section 1"
24,"sbj_blind_1","penna, pidocchio","cipolla, sega","braccialetto, cucchiaio",2,3,2706,677,"cipolla, sega","braccialetto, cucchiaio",1,"section 1"
25,"sbj_blind_1","equilibrio, bersaglio","diario, autorità","rosa, mais",1,3,2263,493,"equilibrio, bersaglio","rosa, mais",1,"section 1"
26,"sbj_blind_1","panchina, agenda","blu, crostino","verde, viola",2,1,1893,1187,"blu, crostino","panchina, agenda",1,"section 1"
27,"sbj_blind_1","lattuga, soglia","rosa, cavolo","spremiagrumi, succo",3,1,1712,453,"spremiagrumi, succo","lattuga, soglia",1,"section 1"
28,"sbj_blind_1","cuscino, rosa","bersaglio, autostrada","fiammifero, documento",1,2,1812,534,"cuscino, rosa","bersaglio, autostrada",1,"section 1"
29,"sbj_blind_1","rosa, bersaglio","equilatero, appuntamento","blu, autostrada",1,3,3183,584,"rosa, bersaglio","blu, autostrada",1,"section 1"
30,"sbj_blind_1","penna, posacenere","gessetto, penna","verde, pidocchio",2,1,2129,624,"gessetto, penna","penna, posacenere",1,"section 1"
31,"sbj_blind_1","stuzzicadenti, satellite","giallo, bidet","eccentrico, bersaglio",3,2,1699,661,"eccentrico, bersaglio","giallo, bidet",1,"section 1"
32,"sbj_blind_1","menta, bidet","timone, autorità","penna, limone",3,1,2795,675,"penna, limone","menta, bidet",1,"section 1"
33,"sbj_blind_1","damigiana, ciliegio","bersaglio, documento","posacenere, equilibrio",3,1,2139,599,"posacenere, equilibrio","damigiana, ciliegio",1,"section 1"
34,"sbj_blind_1","braccialetto, satellite","mais, satellite","candela, lattuga",1,2,2451,708,"braccialetto, satellite","mais, satellite",1,"section 1"
35,"sbj_blind_1","rosa, menta","equilatero, damigiana","sole, documento",1,3,3147,504,"rosa, menta","sole, documento",1,"section 1"
36,"sbj_blind_1","fiammifero, rosa","cipolla, crostino","blu, panchina",2,3,2406,1270,"cipolla, crostino","blu, panchina",1,"section 1"
37,"sbj_blind_1","timone, rosa","fiammifero, lanterna","viola, rosa",3,1,1822,670,"viola, rosa","timone, rosa",1,"section 1"
38,"sbj_blind_1","lattuga, autorità","pomodoro, eccentrico","﻿anello, timone",3,1,1698,544,"﻿anello, timone","lattuga, autorità",1,"section 1"
39,"sbj_blind_1","gessetto, crostino","portafoglio, spremiagrumi","gessetto, damigiana",3,2,1550,502,"gessetto, damigiana","portafoglio, spremiagrumi",1,"section 1"
40,"sbj_blind_1","cipolla, leone","verde, succo","penna, verde",3,1,1255,1258,"penna, verde","cipolla, leone",1,"section 1"
41,"sbj_blind_1","﻿anello, succo","rana, autostrada","limone, caramella",3,1,2446,772,"limone, caramella","﻿anello, succo",1,"section 1"
42,"sbj_blind_1","coperta, bersaglio","giallo, rana","diario, piatto",2,3,1347,454,"giallo, rana","diario, piatto",1,"section 1"
43,"sbj_blind_1","eccentrico, autostrada","penna, bersaglio","spinaci, pidocchio",2,3,1972,538,"penna, bersaglio","spinaci, pidocchio",1,"section 1"
44,"sbj_blind_1","blu, soglia","rana, equilibrio","coccodrillo, crostino",1,2,2297,608,"blu, soglia","rana, equilibrio",1,"section 1"
45,"sbj_blind_1","succo, ciliegio","piatto, cavolo","cuscino, equilatero",2,3,2438,645,"piatto, cavolo","cuscino, equilatero",1,"section 1"
46,"sbj_blind_1","mais, mappa","timone, spremiagrumi","timone, satellite",3,1,1567,990,"timone, satellite","mais, mappa",1,"section 1"
47,"sbj_blind_1","rosa, sole","fiammifero, lattuga","spinaci, damigiana",3,1,2645,740,"spinaci, damigiana","rosa, sole",1,"section 1"
48,"sbj_blind_1","eccentrico, pidocchio","forchetta, spinaci","giallo, cassettiera",2,1,1287,687,"forchetta, spinaci","eccentrico, pidocchio",1,"section 1"
49,"sbj_blind_1","cuscino, ciliegio","crostino, equilibrio","piatto, spremiagrumi",3,1,1358,986,"piatto, spremiagrumi","cuscino, ciliegio",1,"section 1"
50,"sbj_blind_1","menta, equilatero","lanterna, documento","mappa, libreria",3,1,2147,369,"mappa, libreria","menta, equilatero",1,"section 1"
51,"sbj_blind_1","forchetta, eccentrico","piatto, crostino","piatto, panchina",2,3,1904,820,"piatto, crostino","piatto, panchina",1,"section 1"
52,"sbj_blind_1","lanterna, mappa","bidet, bersaglio","succo, pomodoro",3,2,2204,1494,"succo, pomodoro","bidet, bersaglio",1,"section 1"
53,"sbj_blind_1","coperta, documento","satellite, documento","verde, rana",2,1,3239,1250,"satellite, documento","coperta, documento",1,"section 1"
54,"sbj_blind_1","giallo, spinaci","verde, documento","mais, equilibrio",1,3,2314,633,"giallo, spinaci","mais, equilibrio",1,"section 1"
55,"sbj_blind_1","limone, lanterna","braccialetto, rosa","equilatero, pidocchio",2,3,2364,463,"braccialetto, rosa","equilatero, pidocchio",1,"section 1"
56,"sbj_blind_1","fiammifero, penna","forchetta, bersaglio","piatto, coccodrillo",1,2,2399,497,"fiammifero, penna","forchetta, bersaglio",1,"section 1"
57,"sbj_blind_1","braccialetto, panchina","succo, agenda","rana, documento",2,3,3117,900,"succo, agenda","rana, documento",1,"section 1"
58,"sbj_blind_1","fiammifero, stuzzicadenti","gessetto, limone","crostino, bersaglio",1,3,3251,672,"fiammifero, stuzzicadenti","crostino, bersaglio",1,"section 1"
59,"sbj_blind_1","rana, sega","leone, eccentrico","crostino, damigiana",3,1,2698,711,"crostino, damigiana","rana, sega",1,"section 1"
60,"sbj_blind_1","cavolo, bersaglio","stuzzicadenti, cavolo","equilibrio, autostrada",2,1,1663,933,"stuzzicadenti, cavolo","cavolo, bersaglio",1,"section 1"
61,"sbj_blind_1","limone, pidocchio","braccialetto, eccentrico","agenda, cassettiera",3,1,2160,581,"agenda, cassettiera","limone, pidocchio",1,"section 1"
62,"sbj_blind_1","ciotola, eccentrico","diario, timone","﻿anello, verde",3,1,2604,994,"﻿anello, verde","ciotola, eccentrico",1,"section 1"
63,"sbj_blind_1","cucchiaio, lavagna","ciotola, gessetto","diario, menta",2,1,2365,659,"ciotola, gessetto","cucchiaio, lavagna",1,"section 1"
64,"sbj_blind_1","pomodoro, caramella","blu, lanterna","spinaci, panchina",1,3,1422,456,"pomodoro, caramella","spinaci, panchina",1,"section 1"
65,"sbj_blind_1","rana, agenda","forchetta, rosa","stuzzicadenti, soglia",3,1,2700,922,"stuzzicadenti, soglia","rana, agenda",1,"section 1"
66,"sbj_blind_1","timone, giallo","cuscino, timone","stuzzicadenti, bidet",1,3,1804,355,"timone, giallo","stuzzicadenti, bidet",1,"section 1"
67,"sbj_blind_1","rosa, eccentrico","﻿anello, appuntamento","fiammifero, satellite",2,3,2182,338,"﻿anello, appuntamento","fiammifero, satellite",1,"section 1"
68,"sbj_blind_1","forchetta, cipolla","diario, sega","spremiagrumi, posacenere",1,3,2528,437,"forchetta, cipolla","spremiagrumi, posacenere",1,"section 1"
69,"sbj_blind_1","ciotola, equilibrio","coperta, leone","cipolla, documento",1,2,2910,368,"ciotola, equilibrio","coperta, leone",1,"section 1"
70,"sbj_blind_1","braccialetto, fiammifero","rana, eccentrico","libreria, cassettiera",3,2,1517,516,"libreria, cassettiera","rana, eccentrico",1,"section 1"
71,"sbj_blind_1","lavagna, penna","cipolla, eccentrico","ciliegio, autorità",2,1,2420,335,"cipolla, eccentrico","lavagna, penna",1,"section 1"
72,"sbj_blind_1","﻿anello, fiammifero","forchetta, crostino","pidocchio, satellite",2,3,2528,372,"forchetta, crostino","pidocchio, satellite",1,"section 1"
73,"sbj_blind_1","panchina, bidet","gessetto, bidet","﻿anello, menta",3,1,2391,374,"﻿anello, menta","panchina, bidet",1,"section 1"
74,"sbj_blind_1","cipolla, caramella","lavagna, eccentrico","cucchiaio, mappa",1,3,1751,386,"cipolla, caramella","cucchiaio, mappa",1,"section 1"
75,"sbj_blind_1","candela, equilibrio","rosa, leone","﻿anello, coperta",2,3,2293,672,"rosa, leone","﻿anello, coperta",1,"section 1"
76,"sbj_blind_1","ciotola, giallo","stuzzicadenti, appuntamento","ciotola, timone",1,2,2002,423,"ciotola, giallo","stuzzicadenti, appuntamento",1,"section 1"
77,"sbj_blind_1","cucchiaio, cuscino","limone, ciliegio","ciotola, piatto",3,1,3110,391,"ciotola, piatto","cucchiaio, cuscino",1,"section 1"
78,"sbj_blind_1","lanterna, caramella","cavolo, bidet","penna, coccodrillo",3,1,2425,315,"penna, coccodrillo","lanterna, caramella",1,"section 1"
79,"sbj_blind_1","forchetta, blu","﻿anello, cavolo","﻿anello, penna",2,1,3473,453,"﻿anello, cavolo","forchetta, blu",1,"section 1"
80,"sbj_blind_1","ciotola, blu","stuzzicadenti, mappa","gessetto, giallo",3,2,1439,526,"gessetto, giallo","stuzzicadenti, mappa",1,"section 1"
81,"sbj_blind_1","viola, mappa","lavagna, panchina","gessetto, mais",2,3,1724,435,"lavagna, panchina","gessetto, mais",1,"section 1"
82,"sbj_blind_1","caramella, bersaglio","blu, menta","posacenere, sega",2,1,2158,310,"blu, menta","caramella, bersaglio",1,"section 1"
83,"sbj_blind_1","coperta, spremiagrumi","﻿anello, giallo","equilibrio, autorità",3,2,2095,793,"equilibrio, autorità","﻿anello, giallo",1,"section 1"
84,"sbj_blind_1","﻿anello, forchetta","forchetta, documento","gessetto, pidocchio",3,2,3368,540,"gessetto, pidocchio","forchetta, documento",1,"section 1"
85,"sbj_blind_1","viola, succo","sole, cipolla","candela, mais",1,2,2592,506,"viola, succo","sole, cipolla",1,"section 1"
86,"sbj_blind_1","braccialetto, cassettiera","braccialetto, cuscino","lattuga, equilibrio",2,1,1814,30,"braccialetto, cuscino","braccialetto, cassettiera",1,"section 1"
87,"sbj_blind_1","forchetta, sega","rana, ciliegio","coccodrillo, pidocchio",3,1,2251,796,"coccodrillo, pidocchio","forchetta, sega",1,"section 1"
88,"sbj_blind_1","menta, mais","spinaci, autostrada","stuzzicadenti, limone",3,2,1571,1641,"stuzzicadenti, limone","spinaci, autostrada",1,"section 1"
89,"sbj_blind_1","giallo, succo","portafoglio, mappa","sole, sega",2,3,2800,1513,"portafoglio, mappa","sole, sega",1,"section 1"
90,"sbj_blind_1","giallo, autorità","lavagna, pomodoro","menta, leone",3,2,2904,1493,"menta, leone","lavagna, pomodoro",1,"section 1"
91,"sbj_blind_1","equilatero, equilibrio","coperta, diario","coperta, succo",2,3,2218,857,"coperta, diario","coperta, succo",1,"section 1"
92,"sbj_blind_1","libreria, autorità","coccodrillo, satellite","fiammifero, equilatero",1,3,2122,306,"libreria, autorità","fiammifero, equilatero",1,"section 1"
93,"sbj_blind_1","panchina, ciliegio","menta, satellite","stuzzicadenti, damigiana",3,1,2474,1014,"stuzzicadenti, damigiana","panchina, ciliegio",1,"section 1"
94,"sbj_blind_1","lavagna, portafoglio","autostrada, soglia","piatto, giallo",3,1,2017,353,"piatto, giallo","lavagna, portafoglio",1,"section 1"
95,"sbj_blind_1","timone, rana","forchetta, lattuga","cuscino, damigiana",2,3,2396,541,"forchetta, lattuga","cuscino, damigiana",1,"section 1"
96,"sbj_blind_1","coccodrillo, documento","menta, damigiana","ciliegio, satellite",2,1,3096,676,"menta, damigiana","coccodrillo, documento",1,"section 1"
97,"sbj_blind_1","viola, equilibrio","forchetta, panchina","spremiagrumi, panchina",1,3,2647,847,"viola, equilibrio","spremiagrumi, panchina",1,"section 1"
98,"sbj_blind_1","verde, coccodrillo","forchetta, limone","﻿anello, caramella",1,3,3075,348,"verde, coccodrillo","﻿anello, caramella",1,"section 1"
99,"sbj_blind_1","piatto, sega","lattuga, coccodrillo","coperta, damigiana",2,1,1391,265,"lattuga, coccodrillo","piatto, sega",1,"section 1"
100,"sbj_blind_1","ciotola, mais","lattuga, caramella","leone, equilibrio",2,3,2349,562,"lattuga, caramella","leone, equilibrio",1,"section 1"
101,"sbj_blind_1","viola, documento","forchetta, caramella","eccentrico, mappa",3,2,2070,673,"eccentrico, mappa","forchetta, caramella",1,"section 1"
102,"sbj_blind_1","cuscino, diario","lavagna, lattuga","candela, timone",1,2,3368,421,"cuscino, diario","lavagna, lattuga",1,"section 1"
103,"sbj_blind_1","forchetta, succo","piatto, lattuga","diario, equilatero",2,1,1259,289,"piatto, lattuga","forchetta, succo",1,"section 1"
104,"sbj_blind_1","penna, cipolla","penna, cassettiera","piatto, menta",2,1,2170,242,"penna, cassettiera","penna, cipolla",1,"section 1"
105,"sbj_blind_1","posacenere, panchina","limone, panchina","spinaci, satellite",3,1,3124,264,"spinaci, satellite","posacenere, panchina",1,"section 1"
106,"sbj_blind_1","portafoglio, sole","giallo, agenda","penna, equilibrio",2,3,3356,1600,"giallo, agenda","penna, equilibrio",1,"section 1"
107,"sbj_blind_1","giallo, lattuga","gessetto, cassettiera","verde, lattuga",3,1,2094,344,"verde, lattuga","giallo, lattuga",1,"section 1"
108,"sbj_blind_1","satellite, appuntamento","giallo, blu","cavolo, appuntamento",2,3,2046,610,"giallo, blu","cavolo, appuntamento",1,"section 1"
109,"sbj_blind_1","mais, rana","braccialetto, ciotola","pomodoro, cassettiera",1,3,1645,294,"mais, rana","pomodoro, cassettiera",1,"section 1"
110,"sbj_blind_1","eccentrico, cassettiera","viola, rana","ciotola, diario",2,1,1372,341,"viola, rana","eccentrico, cassettiera",1,"section 1"
111,"sbj_blind_1","braccialetto, blu","damigiana, documento","braccialetto, lanterna",1,2,1370,344,"braccialetto, blu","damigiana, documento",1,"section 1"
112,"sbj_blind_1","fiammifero, succo","menta, lattuga","gessetto, equilatero",2,1,1962,713,"menta, lattuga","fiammifero, succo",1,"section 1"
113,"sbj_blind_1","sole, lattuga","timone, caramella","mappa, appuntamento",3,1,1415,337,"mappa, appuntamento","sole, lattuga",1,"section 1"
114,"sbj_blind_1","timone, equilibrio","lattuga, posacenere","piatto, mais",3,1,1131,298,"piatto, mais","timone, equilibrio",1,"section 1"
115,"sbj_blind_1","stuzzicadenti, ciliegio","menta, libreria","lavagna, soglia",1,3,1936,322,"stuzzicadenti, ciliegio","lavagna, soglia",1,"section 1"
116,"sbj_blind_1","lavagna, mais","ciotola, soglia","cavolo, rana",2,1,2095,997,"ciotola, soglia","lavagna, mais",1,"section 1"
117,"sbj_blind_1","pomodoro, agenda","candela, panchina","piatto, damigiana",2,1,1327,1814,"candela, panchina","pomodoro, agenda",1,"section 1"
118,"sbj_blind_1","stuzzicadenti, panchina","menta, bersaglio","ciotola, spremiagrumi",3,1,1623,413,"ciotola, spremiagrumi","stuzzicadenti, panchina",1,"section 1"
119,"sbj_blind_1","giallo, viola","braccialetto, pomodoro","pidocchio, documento",1,3,1326,556,"giallo, viola","pidocchio, documento",1,"section 1"
120,"sbj_blind_1","lanterna, ciliegio","ciotola, succo","panchina, damigiana",2,1,2687,507,"ciotola, succo","lanterna, ciliegio",2,"section 2"
121,"sbj_blind_1","libreria, autostrada","fiammifero, verde","documento, autorità",3,2,1676,1157,"documento, autorità","fiammifero, verde",2,"section 2"
122,"sbj_blind_1","libreria, equilibrio","pidocchio, autostrada","sega, cassettiera",3,2,2654,449,"sega, cassettiera","pidocchio, autostrada",2,"section 2"
123,"sbj_blind_1","stuzzicadenti, sega","braccialetto, autorità","viola, pidocchio",3,1,2996,248,"viola, pidocchio","stuzzicadenti, sega",2,"section 2"
124,"sbj_blind_1","cuscino, menta","piatto, spinaci","spremiagrumi, autostrada",2,3,882,362,"piatto, spinaci","spremiagrumi, autostrada",2,"section 2"
125,"sbj_blind_1","coperta, cucchiaio","﻿anello, autorità","﻿anello, lanterna",1,3,3649,571,"coperta, cucchiaio","﻿anello, lanterna",2,"section 2"
126,"sbj_blind_1","rana, leone","piatto, satellite","cipolla, pidocchio",1,3,1735,421,"rana, leone","cipolla, pidocchio",2,"section 2"
127,"sbj_blind_1","posacenere, cassettiera","caramella, soglia","diario, soglia",2,1,1293,493,"caramella, soglia","posacenere, cassettiera",2,"section 2"
128,"sbj_blind_1","posacenere, equilatero","cucchiaio, leone","pomodoro, cipolla",3,1,1242,413,"pomodoro, cipolla","posacenere, equilatero",2,"section 2"
129,"sbj_blind_1","posacenere, documento","rosa, limone","spinaci, crostino",3,1,3079,972,"spinaci, crostino","posacenere, documento",2,"section 2"
130,"sbj_blind_1","portafoglio, lattuga","fiammifero, pidocchio","caramella, agenda",3,1,3552,375,"caramella, agenda","portafoglio, lattuga",2,"section 2"
131,"sbj_blind_1","timone, bidet","candela, pomodoro","gessetto, leone",2,1,2825,333,"candela, pomodoro","timone, bidet",2,"section 2"
132,"sbj_blind_1","portafoglio, posacenere","candela, forchetta","spinaci, autorità",2,3,2186,296,"candela, forchetta","spinaci, autorità",2,"section 2"
133,"sbj_blind_1","crostino, caramella","ciotola, viola","cipolla, autorità",2,3,1839,477,"ciotola, viola","cipolla, autorità",2,"section 2"
134,"sbj_blind_1","rosa, mappa","menta, equilibrio","pomodoro, equilatero",1,3,2490,454,"rosa, mappa","pomodoro, equilatero",2,"section 2"
135,"sbj_blind_1","blu, mais","rosa, ciliegio","giallo, rosa",3,1,1686,511,"giallo, rosa","blu, mais",2,"section 2"
136,"sbj_blind_1","gessetto, autostrada","portafoglio, sega","menta, lanterna",3,1,2635,258,"menta, lanterna","gessetto, autostrada",2,"section 2"
137,"sbj_blind_1","ciotola, forchetta","spinaci, bersaglio","coperta, giallo",2,3,2112,560,"spinaci, bersaglio","coperta, giallo",2,"section 2"
138,"sbj_blind_1","diario, damigiana","viola, satellite","ciliegio, libreria",3,1,2589,628,"ciliegio, libreria","diario, damigiana",2,"section 2"
139,"sbj_blind_1","portafoglio, appuntamento","bidet, caramella","equilibrio, cassettiera",1,3,2577,1016,"portafoglio, appuntamento","equilibrio, cassettiera",2,"section 2"
140,"sbj_blind_1","sega, autostrada","menta, autorità","cucchiaio, posacenere",3,2,2951,706,"cucchiaio, posacenere","menta, autorità",2,"section 2"
141,"sbj_blind_1","gessetto, documento","braccialetto, viola","coperta, rana",2,3,2349,343,"braccialetto, viola","coperta, rana",2,"section 2"
142,"sbj_blind_1","cipolla, cassettiera","ciliegio, autostrada","verde, mappa",3,1,3731,330,"verde, mappa","cipolla, cassettiera",2,"section 2"
143,"sbj_blind_1","mais, appuntamento","lavagna, appuntamento","timone, cassettiera",2,1,1859,1175,"lavagna, appuntamento","mais, appuntamento",2,"section 2"
144,"sbj_blind_1","timone, eccentrico","timone, panchina","succo, equilibrio",1,3,1519,528,"timone, eccentrico","succo, equilibrio",2,"section 2"
145,"sbj_blind_1","forchetta, pomodoro","ciotola, verde","﻿anello, cassettiera",2,3,1077,340,"ciotola, verde","﻿anello, cassettiera",2,"section 2"
146,"sbj_blind_1","mappa, bersaglio","spremiagrumi, libreria","posacenere, lanterna",3,1,1907,414,"posacenere, lanterna","mappa, bersaglio",2,"section 2"
147,"sbj_blind_1","rosa, pidocchio","sole, bidet","timone, sole",3,1,1712,792,"timone, sole","rosa, pidocchio",2,"section 2"
148,"sbj_blind_1","panchina, autorità","sole, autostrada","diario, spinaci",2,3,2792,337,"sole, autostrada","diario, spinaci",2,"section 2"
149,"sbj_blind_1","viola, soglia","cuscino, bidet","limone, sole",3,1,1796,299,"limone, sole","viola, soglia",2,"section 2"
150,"sbj_blind_1","cavolo, pidocchio","cavolo, autostrada","braccialetto, candela",1,3,1142,385,"cavolo, pidocchio","braccialetto, candela",2,"section 2"
151,"sbj_blind_1","sole, mappa","penna, blu","candela, viola",2,1,2893,1323,"penna, blu","sole, mappa",2,"section 2"
152,"sbj_blind_1","caramella, autorità","limone, spremiagrumi","rosa, succo",2,1,893,366,"limone, spremiagrumi","caramella, autorità",2,"section 2"
153,"sbj_blind_1","menta, documento","cucchiaio, equilatero","equilatero, caramella",2,1,2277,219,"cucchiaio, equilatero","menta, documento",2,"section 2"
154,"sbj_blind_1","sega, bersaglio","braccialetto, lattuga","candela, sole",3,1,658,294,"candela, sole","sega, bersaglio",2,"section 2"
155,"sbj_blind_1","piatto, limone","verde, giallo","piatto, agenda",2,3,1699,379,"verde, giallo","piatto, agenda",2,"section 2"
156,"sbj_blind_1","lavagna, crostino","sega, agenda","spremiagrumi, bersaglio",2,1,3661,275,"sega, agenda","lavagna, crostino",2,"section 2"
157,"sbj_blind_1","cuscino, gessetto","verde, agenda","stuzzicadenti, equilibrio",2,3,1171,968,"verde, agenda","stuzzicadenti, equilibrio",2,"section 2"
